2008-07-01 20:04:20 Notice: Notice (8): Undefined variable: APP_PATH in [APP/config/database.php, line 14]
2008-07-01 20:04:28 Notice: Notice (8): Undefined variable: APP in [APP/config/database.php, line 14]
2008-07-01 20:05:39 Notice: Notice (8): Undefined variable: _APP in [APP/config/database.php, line 14]
2008-07-01 20:05:40 Notice: Notice (8): Undefined variable: _APP in [APP/config/database.php, line 14]
2008-07-01 20:10:37 Notice: Notice (8): Undefined variable: APP in [APP/config/database.php, line 14]
2008-07-01 21:44:35 Notice: Notice (8): Undefined property:  RestaurantsController::$Restaurants in [APP/controllers/restaurants_controller.php, line 11]
2008-07-01 21:45:20 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/restaurants_controller.php, line 11]
2008-07-01 21:59:53 Notice: Notice (8): Use of undefined constant name - assumed 'name' in [APP/controllers/restaurants_controller.php, line 9]
2008-07-01 22:00:28 Notice: Notice (8): Undefined property:  Restaurant::$save in [APP/controllers/restaurants_controller.php, line 11]
2008-07-01 22:00:29 Notice: Notice (8): Undefined property:  Restaurant::$save in [APP/controllers/restaurants_controller.php, line 11]
2008-07-01 22:00:30 Notice: Notice (8): Undefined property:  Restaurant::$save in [APP/controllers/restaurants_controller.php, line 11]
